log_id,user_id,session_id,timestamp,action_type,stage,region,quest_id,skill_used,experience_gained,level
86ec1e6a-c9f5-4c31-9241-28379ac1291c,4ecf5639-aad2-4a10-9f64-0f04780b22fd,a3a38995-b39f-4e08-a2b4-6642e4cf4ba5,2025-08-08T11:42:09.336160,move,stage_09,dungeon,quest_019,skill_015,72,47
69fca2f2-ed94-447e-ad38-9cc890218ac4,8229c32f-19f5-4d9c-8aac-0ef036be0b93,7112b8a4-4a1a-4e3f-84c5-126ba8dbbe06,2025-07-10T04:40:11.336160,attack,stage_04,desert,quest_029,skill_045,87,29
15c8a7cd-1752-4355-ae05-b4efc088f762,5a281ea7-fc3a-4575-942b-d61218d51963,19708548-61f9-4f42-a431-f6bc92dd0e5d,2025-07-23T19:23:30.336160,attack,stage_05,desert,quest_063,skill_012,26,30
63858c02-a6e3-497d-941e-6c90bd1a8f88,5061d49f-ce96-44d1-8211-d7c77d0f2703,b96bcea5-81c2-41db-a1eb-7155cfb0e8db,2025-07-17T18:12:20.336160,move,stage_04,forest,quest_055,skill_009,54,30
7c47449a-5b59-49dc-828d-e2f82ee3975e,cede950d-ca8f-4911-90b2-4dfb2bb664f9,1054f262-4229-4083-bda4-2c61e08aefc1,2025-08-04T01:26:38.336160,jump,stage_05,forest,quest_065,skill_024,19,27
9ff653b1-c5bd-4178-b6dc-81d8b31e0adb,9fb3ff64-4f82-40c5-a8af-61e744935e35,22c04696-1c37-4a75-8c53-f23aa62f189c,2025-07-24T04:05:52.336160,jump,stage_04,forest,quest_050,skill_013,24,26
08fc17ab-d5fd-4e6e-861a-8df261419f79,4ef3757e-0d80-4058-962b-aca1cd4767e0,bf2f4d38-7203-4722-a424-9ec005f3442f,2025-07-17T06:54:17.336160,move,stage_04,dungeon,quest_052,skill_010,93,28
4da5bf1f-6437-48a7-a222-3d8c7de0b81e,30b1a028-d366-42b5-8f6f-5a503aa7a111,ea891c2a-481c-4f28-b92a-ee78a8f89d83,2025-08-07T01:24:10.336160,move,stage_01,dungeon,quest_022,skill_036,39,10
4a1d7b62-7396-4626-a760-fdb13f46532a,2cbdcd42-8107-447d-80ad-f7b77f1d0e68,d7b5a56b-ca8d-4d27-92a0-f2e8370f6996,2025-07-21T14:27:30.336160,defend,stage_06,forest,quest_017,skill_028,92,31
94b0667c-084d-436a-a94d-9e70f0a80ba5,34d53d60-9c49-47b6-a259-4473d3bfea70,808e4f35-4302-46c5-965a-9254d5cc5b40,2025-07-12T18:12:28.336160,defend,stage_09,castle,quest_072,skill_047,79,50
415d9475-67c6-479c-b14d-11fb99adb3f6,93f9f58c-92a7-425c-bcee-a48ed7c4810e,148dab14-e788-4967-b0a3-5c6f692a3937,2025-08-03T08:27:46.336160,collect,stage_05,castle,quest_040,skill_004,75,31
6355c57f-413b-4c4a-9161-522dad29c84f,2718344f-ac8a-47cd-9ac6-3b4d75bd4bbd,a57434a3-fa36-45e1-9cc0-eb9425444209,2025-07-14T02:23:39.336160,move,stage_03,mountain,quest_079,skill_049,56,20
f97e8f5c-eec4-4370-8828-373782e18d68,6b4ecb16-04a2-47ec-90b5-5d259785ece4,8814b513-3231-4a4e-96fc-33ae0ff219b1,2025-07-11T06:40:03.336160,jump,stage_04,castle,quest_044,skill_028,67,26
10325ef7-79fa-431f-b20c-7d2ddecc7cf8,ddc94eda-f92a-4439-becb-c55140aee4d0,f2f5ef49-9f16-4232-8ac7-7ffaea21c9b6,2025-07-16T05:30:45.336160,move,stage_04,mountain,quest_044,skill_042,37,30
31c5b42c-d6a9-4dde-91c8-0ab524e32b8b,f5823a34-c7cb-4e84-9b5e-7c94174c2c39,28085972-5b16-4306-bd58-c55b54bcac57,2025-07-17T06:43:45.336160,move,stage_03,desert,quest_096,skill_013,72,19
dbabd9c9-fd6d-4b9e-9949-517146342c50,4e2a8513-e8ab-4942-9396-378158cf5987,2796078f-6a45-460c-a1a8-0daad0755d01,2025-07-27T13:16:43.336160,collect,stage_03,forest,quest_067,skill_007,86,20
887feec7-f019-489a-b486-0933f1115da0,9cfb5c9b-9d0c-420d-98fb-c6a1636860d9,ba3c70e7-979c-4810-87f8-ff371abe81df,2025-07-30T03:25:54.336160,attack,stage_05,forest,quest_067,skill_019,27,33
d2bfee05-8574-4ac6-87ab-c69bfd9d7267,e56494a5-b01a-493d-bf80-0c206b3c375c,e3949fdd-feb0-4d7e-97a2-8c04231a377b,2025-08-05T02:14:31.336160,attack,stage_05,forest,quest_041,skill_031,95,34
b49555b9-8ab8-4d71-b12a-b80c05c8bb11,fa5e9cb8-4c72-4f98-89ad-045591b882d3,d1f17433-aa64-4b9b-be53-bb556ec1e937,2025-07-29T02:48:01.336160,collect,stage_05,castle,quest_068,skill_049,30,35
31d8aa5e-07c0-4798-bbf0-c7a2dc3bd782,63099e71-0172-416a-9c0e-361082cbed7b,73d2bb46-95dc-4dfd-a6db-efc6dace23cb,2025-07-26T06:17:36.336160,move,stage_02,mountain,quest_019,skill_044,75,18
6e189eee-46c3-4884-af71-73a7c7296323,dee7b126-9b68-470f-9730-d74ab1c0b25d,97ae7197-7a05-44d2-ac3d-d708c345d477,2025-07-31T01:18:12.336160,move,stage_01,city,quest_021,skill_019,64,11
5cfcb5a0-eb1e-4bcf-b906-4341a704dd32,685c919b-51b0-41c5-8ecd-5d5e62d4f8e9,9a068cb0-fb66-4140-a10f-af72ee5c3f43,2025-07-24T05:54:06.336160,attack,stage_01,mountain,quest_052,skill_010,42,10
