log_id,user_id,transaction_id,product_id,amount,currency,payment_method,status,country,promotion_code,timestamp
cbc74dfe-a7c8-4a31-8283-b71555dfdd51,77f40ad4-4ca5-4f60-b712-1877459f7534,9f85be0f-7450-4338-8d16-ea5fe128a16b,gem_pack_small,37.79,USD,paypal,failed,DJ,,2025-07-07T17:32:58.537574
84fafec7-0345-440a-a208-ca4eed529074,cbf10ca0-64be-4ec7-b824-92ed199793ec,9a59d7a7-5efd-4d67-9732-b4b4f37327b8,weapon_pack,1.32,EUR,credit_card,failed,KW,,2025-07-28T13:53:31.481922
ba6c7232-0add-4213-82bd-e332e34eaabd,b3846eb8-1420-4133-9fcd-dc7533cbdf61,757009b3-f0eb-49ff-b937-ced1f2d3aed8,character_skin,66.27,EUR,bank_transfer,failed,MT,,2025-07-16T00:31:55.936322
ad6f81f3-8dfd-4419-8c96-4e62ccbd3409,7d75e766-4f05-4eba-a9c3-f6b3fb7eb46f,a3ac6c72-90d5-4c69-b92f-ccca00b10107,exp_booster,87.68,USD,credit_card,refunded,MA,,2025-07-18T04:59:22.460007
adb7716b-a220-4ec3-9eab-8d42008a2049,47ae54d8-4020-4b60-9066-68e27ba77365,3a6f1663-7f72-43f2-a5ce-94c43e94be9f,gem_pack_small,49.77,JPY,credit_card,refunded,MV,itaque,2025-07-17T04:46:40.053701
4d00e535-c0d1-4576-b5cf-56224bf89506,d3b7ef6d-b593-46cf-9207-a509ff673100,72c2fc4d-cf36-4fa5-bf37-88e7f67e9a12,exp_booster,64.93,JPY,apple_pay,pending,BF,,2025-07-14T21:32:49.259381
667dd280-1b96-4414-bb0c-919b0a0ab616,d28c5b5e-423e-4157-bb11-c8ab62c724b8,aee6e096-5b26-4388-9305-a22d59fdb6f6,gem_pack_medium,1.76,KRW,bank_transfer,pending,DO,ground,2025-07-24T09:42:21.671787
c91f0686-a2e9-4fd2-9f44-83349129d0cc,b576ff38-334c-4d9b-be33-1ef73cfa7b56,48863b3e-fc59-4ba3-b580-df7981c81f1e,character_skin,35.51,KRW,bank_transfer,failed,BH,girl,2025-08-02T04:26:58.420177
946e4cd1-aab6-46a1-ad92-88fd726d4730,b28a165e-e51f-43c2-b43c-7c98b4cd34fd,8e4114e9-0af1-4fc1-b705-7f53308e0a9a,gold_pack,93.56,USD,google_pay,pending,ZM,,2025-07-27T12:17:10.219620
7056c6ce-5418-420d-8659-b569dfb34b0b,3d24d31a-4d06-44dc-983c-2b833f5ac27b,0be8e902-cf6d-4e1f-b3da-8f52ed440ad0,weapon_pack,28.02,KRW,paypal,completed,TL,explicabo,2025-07-10T04:58:45.702048
